s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 2.4050978E+001, 2.3369940E+000,-3.3527127E-001,-1.6977382E+000,-7.5115489E-003,-2.6992093E-004, 0.0000000E+000, 0.0000000E+000, 2.7853664E-001, 2.9620302E-001, 0.0000000E+000, 4.7101555E-005, 0.0000000E+000
 2.5015890E+001, 2.4620690E+000,-3.6934135E-001,-1.9439454E+000,-6.1476871E-003,-2.7955905E-004, 0.0000000E+000, 0.0000000E+000, 1.6160508E-001, 1.4235499E-001, 0.0000000E+000, 4.9094177E-005, 0.0000000E+000
 2.6041147E+001, 2.5516848E+000,-3.9392699E-001,-2.2859826E+000,-7.0867673E-003,-2.8831777E-004, 0.0000000E+000, 0.0000000E+000,-1.2674801E-001,-1.3559992E-001, 0.0000000E+000, 5.1080044E-005, 0.0000000E+000
 2.7015142E+001, 2.6418339E+000,-4.1024828E-001,-2.2496519E+000,-9.9374579E-003,-2.9842250E-004, 0.0000000E+000, 0.0000000E+000,-1.4176328E-002,-2.8302187E-002, 0.0000000E+000, 5.3078529E-005, 0.0000000E+000
 2.8040400E+001, 2.7401437E+000,-4.1740979E-001,-2.1930463E+000,-1.0351170E-002,-3.1154492E-004, 0.0000000E+000, 0.0000000E+000, 9.0297523E-002, 1.1902483E-001, 0.0000000E+000, 5.5076857E-005, 0.0000000E+000
 2.9014395E+001, 2.8344913E+000,-4.2245778E-001,-2.1465777E+000,-1.1136643E-002,-3.2443357E-004, 0.0000000E+000, 0.0000000E+000, 2.3061029E-001, 2.5399473E-001, 0.0000000E+000, 5.7074868E-005, 0.0000000E+000
 3.0039652E+001, 2.9524122E+000,-4.4249925E-001,-2.4242383E+000,-9.6838929E-003,-3.3330292E-004, 0.0000000E+000, 0.0000000E+000, 9.6007372E-002, 7.5657404E-002, 0.0000000E+000, 5.9068872E-005, 0.0000000E+000
 3.1013647E+001, 3.0042305E+000,-4.6272264E-001,-2.6058236E+000,-9.7484014E-003,-3.3540382E-004, 0.0000000E+000, 0.0000000E+000,-4.3962483E-002,-7.4399542E-002, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 3.2038906E+001, 2.9975993E+000,-4.6375418E-001,-2.6608903E+000,-1.1601346E-002,-3.3539624E-004, 0.0000000E+000, 0.0000000E+000,-1.0812210E-001,-1.3898200E-001, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 3.3012897E+001, 2.9837851E+000,-4.5389896E-001,-2.4725547E+000,-9.7236039E-003,-3.3686852E-004, 0.0000000E+000, 0.0000000E+000, 6.2671196E-002, 4.7270954E-002, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 3.4038158E+001, 3.0008733E+000,-4.5286171E-001,-2.3256368E+000,-8.8210036E-003,-3.3811842E-004, 0.0000000E+000, 0.0000000E+000, 2.2585420E-001, 2.1321569E-001, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
 3.5012150E+001, 3.0015395E+000,-4.4527195E-001,-2.5681391E+000,-7.4338835E-003,-3.3842471E-004, 0.0000000E+000, 0.0000000E+000,-3.1655009E-002,-1.9643859E-002, 0.0000000E+000, 5.9967180E-005, 0.0000000E+000
